Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Senegal,Household,Offline,L,8/27/12,247802054,9/8/12,8989,668.27,502.54,6007079.03,4517332.06,1489746.97
Australia and Oceania,Federated States of Micronesia,Snacks,Online,C,9/3/12,531023156,10/15/12,407,152.58,97.44,62100.06,39658.08,22441.98
Europe,Bulgaria,Clothes,Online,L,8/27/10,880999934,9/16/10,6313,109.28,35.84,689884.64,226257.92,463626.72
Middle East and North Africa,Algeria,Personal Care,Online,H,2/20/11,127468717,3/9/11,9681,81.73,56.67,791228.13,548622.27,242605.86
Asia,Mongolia,Clothes,Online,L,12/12/15,770478332,1/24/16,515,109.28,35.84,56279.2,18457.6,37821.6
Central America and the Caribbean,Grenada,Cereal,Online,H,10/28/12,430390107,11/13/12,852,205.7,117.11,175256.4,99777.72,75478.68
Central America and the Caribbean,Grenada,Beverages,Online,M,1/30/17,397877871,3/20/17,9759,47.45,31.79,463064.55,310238.61,152825.94
Sub-Saharan Africa,Senegal,Beverages,Offline,M,10/22/14,683927953,11/4/14,8334,47.45,31.79,395448.3,264937.86,130510.44
North America,Greenland,Fruits,Offline,M,1/31/12,469839179,2/22/12,4709,9.33,6.92,43934.97,32586.28,11348.69
Sub-Saharan Africa,Chad,Meat,Offline,H,1/20/16,357222878,3/9/16,9043,421.89,364.69,3815151.27,3297891.67,517259.6
Sub-Saharan Africa,Mauritius ,Personal Care,Online,C,1/1/16,118002879,1/7/16,8529,81.73,56.67,697075.17,483338.43,213736.74
Middle East and North Africa,Morocco,Beverages,Offline,C,6/1/17,944415509,6/23/17,2391,47.45,31.79,113452.95,76009.89,37443.06
Central America and the Caribbean,Honduras,Office Supplies,Online,H,6/30/15,499009597,7/9/15,6884,651.21,524.96,4482929.64,3613824.64,869105
Sub-Saharan Africa,Benin,Fruits,Online,L,1/28/14,564646470,3/16/14,293,9.33,6.92,2733.69,2027.56,706.13
Europe,Greece,Baby Food,Offline,M,4/8/14,294499957,4/8/14,7937,255.28,159.42,2026157.36,1265316.54,760840.82
Central America and the Caribbean,Jamaica,Beverages,Offline,L,9/4/10,262056386,10/24/10,7163,47.45,31.79,339884.35,227711.77,112172.58
Sub-Saharan Africa,Equatorial Guinea,Office Supplies,Online,M,5/2/10,211114585,5/14/10,2352,651.21,524.96,1531645.92,1234705.92,296940
Sub-Saharan Africa,Swaziland,Office Supplies,Offline,H,10/3/13,405785882,10/22/13,9915,651.21,524.96,6456747.15,5204978.4,1251768.75
Central America and the Caribbean,Trinidad and Tobago,Vegetables,Offline,M,3/6/11,280494105,4/14/11,3294,154.06,90.93,507473.64,299523.42,207950.22
Europe,Sweden,Baby Food,Online,L,8/7/16,689975583,8/12/16,7963,255.28,159.42,2032794.64,1269461.46,763333.18
Europe,Belarus,Office Supplies,Online,L,1/11/11,759279143,2/18/11,6426,651.21,524.96,4184675.46,3373392.96,811282.5
Sub-Saharan Africa,Guinea-Bissau,Office Supplies,Offline,C,5/21/14,133766114,6/12/14,3221,651.21,524.96,2097547.41,1690896.16,406651.25
Asia,Mongolia,Beverages,Online,M,8/3/13,329110324,9/2/13,9913,47.45,31.79,470371.85,315134.27,155237.58
Middle East and North Africa,Turkey,Meat,Online,L,10/5/11,681298100,11/20/11,103,421.89,364.69,43454.67,37563.07,5891.6
Sub-Saharan Africa,Central African Republic,Snacks,Offline,L,11/15/16,596628272,12/30/16,4419,152.58,97.44,674251.02,430587.36,243663.66
Sub-Saharan Africa,Equatorial Guinea,Office Supplies,Offline,L,4/3/15,901712167,4/17/15,5523,651.21,524.96,3596632.83,2899354.08,697278.75
Asia,Laos,Beverages,Online,M,3/22/13,693473613,4/21/13,3107,47.45,31.79,147427.15,98771.53,48655.62
Europe,Armenia,Meat,Online,C,8/2/10,489148938,9/1/10,8896,421.89,364.69,3753133.44,3244282.24,508851.2
Europe,Greece,Household,Online,L,1/5/12,876286971,2/15/12,1643,668.27,502.54,1097967.61,825673.22,272294.39
Middle East and North Africa,Israel,Personal Care,Offline,H,8/26/15,262749040,8/30/15,2135,81.73,56.67,174493.55,120990.45,53503.1
Asia,Bhutan,Meat,Online,H,12/9/16,726708972,1/26/17,8189,421.89,364.69,3454857.21,2986446.41,468410.8
Australia and Oceania,Vanuatu,Vegetables,Online,L,5/17/12,366653096,5/31/12,9654,154.06,90.93,1487295.24,877838.22,609457.02
Sub-Saharan Africa,Burundi,Vegetables,Online,M,11/17/10,951380240,12/20/10,3410,154.06,90.93,525344.6,310071.3,215273.3
Europe,Ukraine,Cosmetics,Online,M,11/13/14,270001733,1/1/15,8368,437.2,263.33,3658489.6,2203545.44,1454944.16
Europe,Croatia,Beverages,Online,C,6/16/16,681941401,7/28/16,470,47.45,31.79,22301.5,14941.3,7360.2
Sub-Saharan Africa,Madagascar,Fruits,Online,L,5/31/16,566935575,6/7/16,7690,9.33,6.92,71747.7,53214.8,18532.9
Asia,Malaysia,Snacks,Offline,M,10/6/12,175033080,11/5/12,5033,152.58,97.44,767935.14,490415.52,277519.62
Asia,Uzbekistan,Office Supplies,Offline,L,3/10/12,276595246,3/15/12,9535,651.21,524.96,6209287.35,5005493.6,1203793.75
Europe,Italy,Office Supplies,Online,M,1/26/11,812295901,2/13/11,5263,651.21,524.96,3427318.23,2762864.48,664453.75
Asia,Nepal,Vegetables,Offline,C,6/2/14,443121373,6/19/14,8316,154.06,90.93,1281162.96,756173.88,524989.08
Australia and Oceania,Fiji,Personal Care,Offline,H,12/17/16,600370490,1/25/17,1824,81.73,56.67,149075.52,103366.08,45709.44
Europe,Portugal,Office Supplies,Online,L,6/27/14,535654580,7/29/14,949,651.21,524.96,617998.29,498187.04,119811.25
Central America and the Caribbean,Panama,Cosmetics,Offline,H,3/17/15,470897471,4/22/15,7881,437.2,263.33,3445573.2,2075303.73,1370269.47
Europe,Belarus,Beverages,Offline,L,4/3/13,248335492,4/4/13,6846,47.45,31.79,324842.7,217634.34,107208.36
Sub-Saharan Africa,Botswana,Clothes,Offline,C,3/8/15,680517470,3/25/15,9097,109.28,35.84,994120.16,326036.48,668083.68
Sub-Saharan Africa,Tanzania,Personal Care,Online,M,6/21/13,400304734,7/29/13,7921,81.73,56.67,647383.33,448883.07,198500.26
Europe,Romania,Office Supplies,Offline,C,1/6/13,810871112,1/8/13,3636,651.21,524.96,2367799.56,1908754.56,459045
Sub-Saharan Africa,Mali,Cereal,Online,L,3/17/12,235702931,4/3/12,8590,205.7,117.11,1766963,1005974.9,760988.1
Sub-Saharan Africa,Central African Republic,Office Supplies,Offline,C,4/18/14,668599021,5/12/14,2163,651.21,524.96,1408567.23,1135488.48,273078.75
Sub-Saharan Africa,Niger,Baby Food,Online,M,1/3/16,123670709,2/1/16,5766,255.28,159.42,1471944.48,919215.72,552728.76
Europe,Austria,Office Supplies,Online,L,5/12/11,285341823,6/8/11,7841,651.21,524.96,5106137.61,4116211.36,989926.25
Asia,India,Fruits,Online,H,7/29/10,658348691,8/22/10,8862,9.33,6.92,82682.46,61325.04,21357.42
Europe,Luxembourg,Baby Food,Offline,L,8/2/13,817740142,8/19/13,6335,255.28,159.42,1617198.8,1009925.7,607273.1
Sub-Saharan Africa,Cape Verde,Beverages,Offline,H,10/23/13,858877503,11/6/13,9794,47.45,31.79,464725.3,311351.26,153374.04
Europe,Sweden,Vegetables,Offline,M,2/5/17,947434604,2/19/17,5808,154.06,90.93,894780.48,528121.44,366659.04
Europe,Iceland,Meat,Offline,H,3/20/15,869397771,4/17/15,2975,421.89,364.69,1255122.75,1084952.75,170170
Middle East and North Africa,Qatar,Personal Care,Offline,L,5/6/12,481065833,5/8/12,6925,81.73,56.67,565980.25,392439.75,173540.5
Sub-Saharan Africa,South Sudan,Meat,Online,C,9/30/13,159050118,10/1/13,5319,421.89,364.69,2244032.91,1939786.11,304246.8
Europe,United Kingdom,Office Supplies,Online,M,5/20/14,350274455,6/14/14,2850,651.21,524.96,1855948.5,1496136,359812.5
Middle East and North Africa,Tunisia ,Cereal,Online,L,4/9/10,221975171,5/17/10,6241,205.7,117.11,1283773.7,730883.51,552890.19
North America,United States of America,Office Supplies,Online,C,6/9/17,811701095,7/19/17,9247,651.21,524.96,6021738.87,4854305.12,1167433.75
Sub-Saharan Africa,Liberia,Cereal,Online,L,2/8/15,977313554,3/29/15,7653,205.7,117.11,1574222.1,896242.83,677979.27
Sub-Saharan Africa,Eritrea,Snacks,Offline,L,1/25/10,546986377,2/10/10,4279,152.58,97.44,652889.82,416945.76,235944.06
Asia,South Korea,Fruits,Offline,L,3/7/10,769205892,3/17/10,3972,9.33,6.92,37058.76,27486.24,9572.52
Sub-Saharan Africa,Kenya,Clothes,Offline,M,1/3/13,262770926,2/8/13,8611,109.28,35.84,941010.08,308618.24,632391.84
Sub-Saharan Africa,Rwanda,Snacks,Online,M,3/6/17,866792809,3/18/17,2109,152.58,97.44,321791.22,205500.96,116290.26
Central America and the Caribbean,Cuba,Beverages,Offline,C,1/9/11,890695369,2/23/11,5408,47.45,31.79,256609.6,171920.32,84689.28
Middle East and North Africa,Libya,Cereal,Offline,M,3/27/14,964214932,3/31/14,1480,205.7,117.11,304436,173322.8,131113.2
Europe,Czech Republic,Snacks,Online,C,6/28/13,887400329,8/17/13,332,152.58,97.44,50656.56,32350.08,18306.48
Europe,Montenegro,Beverages,Offline,M,9/4/11,980612885,9/4/11,3999,47.45,31.79,189752.55,127128.21,62624.34
Europe,Montenegro,Clothes,Offline,M,7/14/16,734526431,8/2/16,1549,109.28,35.84,169274.72,55516.16,113758.56
Asia,Philippines,Baby Food,Online,L,2/23/14,160127294,3/23/14,4079,255.28,159.42,1041287.12,650274.18,391012.94
Central America and the Caribbean,El Salvador,Clothes,Offline,L,8/7/10,238714301,9/13/10,9721,109.28,35.84,1062310.88,348400.64,713910.24
Australia and Oceania,Tonga,Household,Online,M,1/14/13,671898782,2/6/13,8635,668.27,502.54,5770511.45,4339432.9,1431078.55
Sub-Saharan Africa,Democratic Republic of the Congo,Personal Care,Offline,H,9/30/10,331604564,11/17/10,8014,81.73,56.67,654984.22,454153.38,200830.84
Middle East and North Africa,Afghanistan,Cereal,Online,M,10/13/16,410067975,11/20/16,7081,205.7,117.11,1456561.7,829255.91,627305.79
Australia and Oceania,Tuvalu,Snacks,Offline,L,3/16/11,369837844,3/23/11,2091,152.58,97.44,319044.78,203747.04,115297.74
Sub-Saharan Africa,Sudan,Fruits,Online,L,12/26/12,193775498,1/31/13,1331,9.33,6.92,12418.23,9210.52,3207.71
Sub-Saharan Africa,Niger,Clothes,Online,M,9/2/15,835054767,10/9/15,117,109.28,35.84,12785.76,4193.28,8592.48
Sub-Saharan Africa,Gabon,Household,Offline,C,11/11/13,167161977,12/24/13,5798,668.27,502.54,3874629.46,2913726.92,960902.54
Australia and Oceania,East Timor,Vegetables,Offline,C,8/4/14,633895957,8/22/14,2755,154.06,90.93,424435.3,250512.15,173923.15
North America,United States of America,Clothes,Offline,C,10/21/10,699368035,12/7/10,7398,109.28,35.84,808453.44,265144.32,543309.12
Middle East and North Africa,Jordan,Vegetables,Offline,L,6/13/15,698002040,7/29/15,3170,154.06,90.93,488370.2,288248.1,200122.1
Europe,Cyprus,Snacks,Offline,H,3/29/12,584534299,5/18/12,5544,152.58,97.44,845903.52,540207.36,305696.16
Sub-Saharan Africa,Malawi,Vegetables,Online,L,6/22/12,384013640,7/19/12,7025,154.06,90.93,1082271.5,638783.25,443488.25
Europe,Iceland,Personal Care,Online,M,5/10/13,641801393,5/24/13,2149,81.73,56.67,175637.77,121783.83,53853.94
Middle East and North Africa,Israel,Personal Care,Online,M,12/10/16,173571383,1/11/17,2484,81.73,56.67,203017.32,140768.28,62249.04
Middle East and North Africa,United Arab Emirates,Snacks,Offline,H,3/20/11,115309941,4/6/11,1629,152.58,97.44,248552.82,158729.76,89823.06
Asia,China,Cosmetics,Offline,L,9/22/11,773315894,11/4/11,213,437.2,263.33,93123.6,56089.29,37034.31
Sub-Saharan Africa,Kenya,Beverages,Online,M,5/11/12,274200570,6/26/12,897,47.45,31.79,42562.65,28515.63,14047.02
Middle East and North Africa,Somalia,Clothes,Offline,M,11/15/11,414887797,11/17/11,3374,109.28,35.84,368710.72,120924.16,247786.56
Australia and Oceania,Tonga,Beverages,Offline,L,1/27/10,812613904,1/29/10,9367,47.45,31.79,444464.15,297776.93,146687.22
Asia,Bangladesh,Baby Food,Online,H,8/17/11,254927718,9/7/11,7632,255.28,159.42,1948296.96,1216693.44,731603.52
Middle East and North Africa,Egypt,Beverages,Offline,M,9/6/14,749690568,10/26/14,8954,47.45,31.79,424867.3,284647.66,140219.64
Sub-Saharan Africa,Eritrea,Cereal,Offline,C,9/3/14,775076282,9/19/14,1150,205.7,117.11,236555,134676.5,101878.5
Sub-Saharan Africa,Swaziland,Office Supplies,Online,H,9/5/15,229571187,9/18/15,4071,651.21,524.96,2651075.91,2137112.16,513963.75
Asia,Vietnam,Baby Food,Online,C,6/20/11,881974112,7/11/11,4594,255.28,159.42,1172756.32,732375.48,440380.84
Australia and Oceania,Marshall Islands,Snacks,Online,L,1/12/12,521396386,2/14/12,1632,152.58,97.44,249010.56,159022.08,89988.48
Asia,Taiwan,Household,Online,C,1/23/17,607261836,2/22/17,1127,668.27,502.54,753140.29,566362.58,186777.71
Europe,Ireland,Vegetables,Online,M,3/4/12,419306790,3/12/12,1052,154.06,90.93,162071.12,95658.36,66412.76
Sub-Saharan Africa,Rwanda,Meat,Offline,H,7/18/10,207580077,7/18/10,6413,421.89,364.69,2705580.57,2338756.97,366823.6
Europe,Sweden,Snacks,Online,M,4/12/11,742443025,4/15/11,4245,152.58,97.44,647702.1,413632.8,234069.3
Sub-Saharan Africa,Gabon,Snacks,Offline,M,10/3/10,164569461,10/5/10,8615,152.58,97.44,1314476.7,839445.6,475031.1
Sub-Saharan Africa,South Africa,Baby Food,Online,L,12/29/13,734945714,2/12/14,5624,255.28,159.42,1435694.72,896578.08,539116.64
Europe,United Kingdom,Clothes,Offline,C,9/19/15,284870612,10/7/15,8399,109.28,35.84,917842.72,301020.16,616822.56
Europe,Albania,Fruits,Offline,M,9/17/11,765955483,10/7/11,2104,9.33,6.92,19630.32,14559.68,5070.64
Asia,Malaysia,Snacks,Offline,H,3/11/10,600124156,4/21/10,8929,152.58,97.44,1362386.82,870041.76,492345.06
Sub-Saharan Africa,Ghana,Household,Offline,L,11/10/12,529612958,12/11/12,3098,668.27,502.54,2070300.46,1556868.92,513431.54
Central America and the Caribbean,Cuba,Clothes,Offline,H,2/16/11,466970717,3/18/11,5867,109.28,35.84,641145.76,210273.28,430872.48
Central America and the Caribbean,Saint Lucia,Cosmetics,Online,C,8/13/12,845058763,9/22/12,522,437.2,263.33,228218.4,137458.26,90760.14
Europe,Romania,Snacks,Offline,L,8/28/14,367050921,8/31/14,7379,152.58,97.44,1125887.82,719009.76,406878.06
Europe,Portugal,Office Supplies,Online,L,8/19/15,956433522,9/12/15,8788,651.21,524.96,5722833.48,4613348.48,1109485
Europe,Macedonia,Beverages,Online,C,3/20/11,107005393,5/4/11,4129,47.45,31.79,195921.05,131260.91,64660.14
Asia,China,Beverages,Offline,C,4/16/13,332877862,5/7/13,4811,47.45,31.79,228281.95,152941.69,75340.26
Europe,Germany,Baby Food,Online,L,11/13/15,618474757,12/31/15,9279,255.28,159.42,2368743.12,1479258.18,889484.94
Europe,Ireland,Household,Online,M,1/10/14,468532407,2/11/14,8006,668.27,502.54,5350169.62,4023335.24,1326834.38
Europe,Poland,Office Supplies,Offline,M,4/9/15,358099639,4/29/15,8496,651.21,524.96,5532680.16,4460060.16,1072620
Sub-Saharan Africa,Namibia,Household,Online,H,1/7/13,382537782,1/27/13,285,668.27,502.54,190456.95,143223.9,47233.05
Asia,Uzbekistan,Personal Care,Offline,H,2/12/13,707520663,3/15/13,9942,81.73,56.67,812559.66,563413.14,249146.52
Sub-Saharan Africa,Zimbabwe,Meat,Online,M,11/28/14,219034612,12/10/14,6064,421.89,364.69,2558340.96,2211480.16,346860.8
Asia,Mongolia,Meat,Offline,M,1/3/15,573378455,1/17/15,4281,421.89,364.69,1806111.09,1561237.89,244873.2
Europe,Norway,Personal Care,Online,H,2/3/11,347163522,3/22/11,2256,81.73,56.67,184382.88,127847.52,56535.36
Middle East and North Africa,Oman,Snacks,Offline,M,4/9/13,887313640,4/21/13,4679,152.58,97.44,713921.82,455921.76,258000.06
Europe,Serbia,Cosmetics,Online,H,7/26/17,461065137,8/19/17,8275,437.2,263.33,3617830,2179055.75,1438774.25
Sub-Saharan Africa,Democratic Republic of the Congo,Fruits,Offline,H,4/15/17,105966842,5/19/17,6798,9.33,6.92,63425.34,47042.16,16383.18
Europe,Bulgaria,Baby Food,Online,M,5/16/14,479880082,5/23/14,6035,255.28,159.42,1540614.8,962099.7,578515.1
Asia,Brunei,Baby Food,Online,H,8/12/15,510978686,9/30/15,8803,255.28,159.42,2247229.84,1403374.26,843855.58
Europe,Serbia,Snacks,Offline,C,9/20/13,547748982,10/14/13,9951,152.58,97.44,1518323.58,969625.44,548698.14
Sub-Saharan Africa,Ghana,Cereal,Offline,M,10/31/13,108989799,12/9/13,1358,205.7,117.11,279340.6,159035.38,120305.22
Sub-Saharan Africa,Malawi,Cereal,Offline,M,7/30/14,133812463,8/9/14,6936,205.7,117.11,1426735.2,812274.96,614460.24
Sub-Saharan Africa,Zimbabwe,Fruits,Offline,L,11/12/11,731640803,12/30/11,7627,9.33,6.92,71159.91,52778.84,18381.07
Europe,Cyprus,Snacks,Offline,C,3/25/10,732211148,4/14/10,6405,152.58,97.44,977274.9,624103.2,353171.7
Central America and the Caribbean,Nicaragua,Cereal,Online,M,7/4/11,835572326,8/8/11,3274,205.7,117.11,673461.8,383418.14,290043.66
Europe,Estonia,Baby Food,Offline,C,1/1/11,462085664,1/15/11,271,255.28,159.42,69180.88,43202.82,25978.06
Europe,Estonia,Clothes,Online,C,6/16/16,902424991,7/4/16,6463,109.28,35.84,706276.64,231633.92,474642.72
Europe,Lithuania,Fruits,Offline,H,12/17/13,367576634,1/5/14,2949,9.33,6.92,27514.17,20407.08,7107.09
Sub-Saharan Africa,Republic of the Congo,Meat,Offline,H,3/1/17,738839423,3/31/17,7859,421.89,364.69,3315633.51,2866098.71,449534.8
Europe,Czech Republic,Baby Food,Online,C,7/2/10,817824685,7/27/10,1353,255.28,159.42,345393.84,215695.26,129698.58
Sub-Saharan Africa,Cameroon,Snacks,Online,C,7/16/13,376456248,8/1/13,624,152.58,97.44,95209.92,60802.56,34407.36
Asia,Vietnam,Office Supplies,Online,H,8/16/16,606970441,9/16/16,4897,651.21,524.96,3188975.37,2570729.12,618246.25
Europe,Moldova ,Meat,Offline,L,12/16/14,971916091,1/19/15,424,421.89,364.69,178881.36,154628.56,24252.8
Middle East and North Africa,Bahrain,Office Supplies,Offline,L,5/14/12,554154527,5/15/12,5494,651.21,524.96,3577747.74,2884130.24,693617.5
Europe,Hungary,Household,Online,L,7/18/17,306859576,7/19/17,5423,668.27,502.54,3624028.21,2725274.42,898753.79
Australia and Oceania,Marshall Islands,Personal Care,Offline,L,7/9/17,803517568,7/21/17,7559,81.73,56.67,617797.07,428368.53,189428.54
Middle East and North Africa,Iraq,Office Supplies,Online,C,9/30/11,887927329,10/2/11,6283,651.21,524.96,4091552.43,3298323.68,793228.75
Europe,Albania,Vegetables,Online,H,11/24/15,824200189,11/26/15,8006,154.06,90.93,1233404.36,727985.58,505418.78
Sub-Saharan Africa,Lesotho,Office Supplies,Online,H,8/14/12,946759974,9/14/12,6170,651.21,524.96,4017965.7,3239003.2,778962.5
Middle East and North Africa,Lebanon,Clothes,Offline,H,12/6/15,310343015,12/28/15,6249,109.28,35.84,682890.72,223964.16,458926.56
Europe,Hungary,Vegetables,Online,C,5/25/14,739998137,7/9/14,748,154.06,90.93,115236.88,68015.64,47221.24
Asia,Japan,Beverages,Online,H,10/18/12,981086671,11/21/12,4203,47.45,31.79,199432.35,133613.37,65818.98
Europe,Georgia,Office Supplies,Offline,L,3/13/13,749282443,3/25/13,8180,651.21,524.96,5326897.8,4294172.8,1032725
Europe,Estonia,Office Supplies,Online,C,2/23/11,280571782,3/11/11,6280,651.21,524.96,4089598.8,3296748.8,792850
Europe,Luxembourg,Household,Online,C,8/15/14,781253516,9/1/14,9131,668.27,502.54,6101973.37,4588692.74,1513280.63
Sub-Saharan Africa,Swaziland,Personal Care,Online,H,7/6/17,377938973,7/11/17,9396,81.73,56.67,767935.08,532471.32,235463.76
Europe,Romania,Clothes,Offline,C,12/31/10,867551982,1/3/11,6765,109.28,35.84,739279.2,242457.6,496821.6
Sub-Saharan Africa,Ethiopia,Personal Care,Offline,C,1/13/10,967328870,1/15/10,2964,81.73,56.67,242247.72,167969.88,74277.84
Sub-Saharan Africa,Chad,Office Supplies,Offline,C,9/17/11,364818465,10/16/11,6746,651.21,524.96,4393062.66,3541380.16,851682.5
Middle East and North Africa,Morocco,Office Supplies,Online,C,3/8/14,167882096,3/31/14,8898,651.21,524.96,5794466.58,4671094.08,1123372.5
North America,Mexico,Clothes,Online,H,11/18/12,654693591,12/1/12,7237,109.28,35.84,790859.36,259374.08,531485.28
Sub-Saharan Africa,Nigeria,Personal Care,Offline,H,11/18/11,823739278,12/29/11,1612,81.73,56.67,131748.76,91352.04,40396.72
Central America and the Caribbean,Trinidad and Tobago,Beverages,Offline,L,7/12/12,643817985,8/19/12,8904,47.45,31.79,422494.8,283058.16,139436.64
Europe,Moldova ,Personal Care,Offline,H,3/30/17,604041039,5/15/17,8022,81.73,56.67,655638.06,454606.74,201031.32
Australia and Oceania,Solomon Islands,Personal Care,Online,H,7/26/10,363832271,9/12/10,4909,81.73,56.67,401212.57,278193.03,123019.54
Asia,India,Personal Care,Online,L,12/24/15,102928006,1/31/16,7539,81.73,56.67,616162.47,427235.13,188927.34
Sub-Saharan Africa,Burkina Faso,Office Supplies,Offline,M,5/15/16,971377074,5/15/16,917,651.21,524.96,597159.57,481388.32,115771.25
Australia and Oceania,Kiribati,Meat,Online,L,11/3/10,139540803,12/4/10,2079,421.89,364.69,877109.31,758190.51,118918.8
Middle East and North Africa,Israel,Meat,Offline,M,12/1/10,248093020,12/16/10,5093,421.89,364.69,2148685.77,1857366.17,291319.6
Sub-Saharan Africa,Comoros,Snacks,Offline,L,1/16/14,858020055,1/17/14,6056,152.58,97.44,924024.48,590096.64,333927.84
Middle East and North Africa,Iran,Baby Food,Offline,H,12/11/14,700620734,1/5/15,8099,255.28,159.42,2067512.72,1291142.58,776370.14
Asia,Vietnam,Cosmetics,Offline,L,12/24/16,827506387,1/30/17,6384,437.2,263.33,2791084.8,1681098.72,1109986.08
Central America and the Caribbean,Belize,Household,Online,M,3/21/13,560600841,4/14/13,3101,668.27,502.54,2072305.27,1558376.54,513928.73
Europe,Belarus,Personal Care,Offline,H,12/8/12,642140424,1/16/13,2476,81.73,56.67,202363.48,140314.92,62048.56
North America,United States of America,Baby Food,Offline,C,2/13/15,984673964,3/5/15,5763,255.28,159.42,1471178.64,918737.46,552441.18
Europe,Poland,Beverages,Online,L,3/28/12,221062791,4/18/12,6247,47.45,31.79,296420.15,198592.13,97828.02
North America,Canada,Vegetables,Offline,L,10/7/16,654480731,11/8/16,4247,154.06,90.93,654292.82,386179.71,268113.11
Middle East and North Africa,Israel,Beverages,Offline,C,12/15/11,608414113,12/23/11,2111,47.45,31.79,100166.95,67108.69,33058.26
Middle East and North Africa,Lebanon,Household,Online,L,3/8/16,276661765,4/20/16,9219,668.27,502.54,6160781.13,4632916.26,1527864.87
Europe,Andorra,Baby Food,Online,L,1/18/11,373335015,2/28/11,6982,255.28,159.42,1782364.96,1113070.44,669294.52
Europe,Slovakia,Clothes,Online,L,4/11/13,782857692,5/28/13,3843,109.28,35.84,419963.04,137733.12,282229.92
Sub-Saharan Africa,Liberia,Fruits,Online,H,5/18/10,109966123,6/5/10,274,9.33,6.92,2556.42,1896.08,660.34
Central America and the Caribbean,Antigua and Barbuda ,Cereal,Offline,M,6/5/17,629709136,6/6/17,3782,205.7,117.11,777957.4,442910.02,335047.38
Asia,China,Personal Care,Online,L,9/11/12,637448060,9/15/12,3901,81.73,56.67,318828.73,221069.67,97759.06
Sub-Saharan Africa,Niger,Baby Food,Online,H,3/8/17,298856723,4/3/17,7200,255.28,159.42,1838016,1147824,690192
Europe,United Kingdom,Household,Offline,L,1/28/15,299921452,2/23/15,2278,668.27,502.54,1522319.06,1144786.12,377532.94
Asia,Bangladesh,Personal Care,Offline,M,7/26/10,496941077,7/29/10,4763,81.73,56.67,389279.99,269919.21,119360.78
Asia,Myanmar,Snacks,Online,L,6/24/16,366526925,7/14/16,2317,152.58,97.44,353527.86,225768.48,127759.38
Australia and Oceania,Tonga,Meat,Offline,M,8/18/12,355602824,9/15/12,9633,421.89,364.69,4064066.37,3513058.77,551007.6
Sub-Saharan Africa,Guinea-Bissau,Vegetables,Online,C,3/11/10,531405103,4/19/10,3434,154.06,90.93,529042.04,312253.62,216788.42
